,CACode,VaCode,Estimate,ASE,Flag
0,C02A,V00T,16.8,0.0,B
1,C02A,V01A,17.5,2.9,
2,C02A,V01B,23.6,3.4,
3,C02A,V01C,27.8,3.3,
4,C02A,V01D,14.1,3.1,
5,C02A,V01E,17,3.2,
6,C02A,V01M,7.7,0.1,
7,C02A,V02A,18.5,3.1,
8,C02A,V02B,18.3,3.1,
9,C02A,V02C,28.2,3.6,
10,C02A,V02D,15.9,2.8,
11,C02A,V02E,19.1,3.3,
12,C02A,V02M,7.8,0.1,
13,C02A,V03A,18.9,2.6,
14,C02A,V03B,17.8,2.8,
15,C02A,V03C,32.7,3.4,
16,C02A,V03D,15.5,2.9,
17,C02A,V03E,15,2.7,
18,C02A,V03M,7.7,0.1,
19,C02A,V04A,15.9,2.7,
20,C02A,V04B,30.4,4.1,
21,C02A,V04C,40.7,4.5,
22,C02A,V04D,12.9,2.4,
23,C02A,V05A,22.4,3.7,
24,C02A,V05B,39,4.2,
25,C02A,V05C,28.1,3.5,
26,C02A,V05D,10.5,2.4,
27,C02A,V06A,60.2,3.1,
28,C02A,V07A,84.7,2.3,
29,C02A,V08A,54.2,4.2,
30,C02A,V09A,77.8,3.6,
31,C02A,V10A,22.4,2.8,
32,C02A,V11A,81.7,4.0,
33,C02A,V11B,7.2,2.6,*
34,C02A,V11C,5.7,2.0,*
35,C02A,V11D,2.4,1.1,*
36,C02A,V11E,2.9,1.4,*
37,C02A,V11M,3.3,0.3,
38,C02A,V12A,50.5,4.2,
39,C02A,V13A,70.5,3.6,
40,C02A,V14A,83.5,2.7,
41,C02A,V15A,89.1,2.6,
42,C02A,V16A,48.9,3.9,
43,C02A,V16B,27.1,3.5,
44,C02A,V16C,18.2,3.2,
45,C02A,V16D,5.8,1.6,
46,C02A,V17A,13.5,2.7,
47,C02A,V17B,27.6,3.6,
48,C02A,V17C,43,3.5,
49,C02A,V17D,15.9,3.1,
50,C02A,V17M,6.6,0.1,
51,C02A,V18A,9.4,2.1,
52,C02A,V18B,23.4,3.1,
53,C02A,V18C,41.1,3.6,
54,C02A,V18D,26.1,3.3,
55,C02A,V18M,7.1,0.2,
56,C02A,V19A,8.5,2.0,
57,C02A,V19B,24.8,3.2,
58,C02A,V19C,45.5,4.4,
59,C02A,V19D,21.2,3.2,
60,C02A,V19M,7.1,0.1,
61,C02A,V20A,8.6,2.1,
62,C02A,V20B,18.4,2.8,
63,C02A,V20C,44.1,4.1,
64,C02A,V20D,28.9,3.9,
65,C02A,V20M,7.3,0.1,
66,C02A,V21A,37.3,3.8,
67,C02A,V21B,35,3.7,
68,C02A,V21C,22.7,3.7,
69,C02A,V21D,5,1.8,*
70,C02A,V21M,5,0.2,
71,C02A,V22A,19.1,2.5,
72,C02A,V22B,29.5,3.5,
73,C02A,V22C,38.2,3.7,
74,C02A,V22D,13.2,2.6,
75,C02A,V22M,6.2,0.2,
76,C02A,V23A,5.7,1.7,*
77,C02A,V23B,13.7,2.7,
78,C02A,V23C,37.4,3.7,
79,C02A,V23D,43.2,3.4,
80,C02A,V23M,7.9,0.1,
81,C02A,V24A,88.9,2.2,
82,C02A,V25A,87,2.4,
83,C02A,V26A,90.3,2.0,
84,C02A,V27A,61,3.8,
85,C02A,V28A,85.7,2.5,
86,C02A,V29A,84.7,2.2,
87,C02A,V30A,82.5,3.1,
88,C02B,V00T,33.5,0.0,B
89,C02B,V01A,18.6,1.8,
90,C02B,V01B,21.5,1.8,
91,C02B,V01C,33.2,1.9,
92,C02B,V01D,13.5,1.5,
93,C02B,V01E,13.2,1.9,
94,C02B,V01M,7.6,0.1,
95,C02B,V02A,13.6,1.7,
96,C02B,V02B,17.8,1.7,
97,C02B,V02C,29.4,2.3,
98,C02B,V02D,18.8,1.9,
99,C02B,V02E,20.4,2.2,
100,C02B,V02M,8,0.1,
101,C02B,V03A,16.8,1.7,
102,C02B,V03B,20.9,1.9,
103,C02B,V03C,31.3,2.1,
104,C02B,V03D,15.1,1.5,
105,C02B,V03E,16,2.0,
106,C02B,V03M,7.8,0.1,
107,C02B,V04A,9.3,1.4,
108,C02B,V04B,29.3,2.4,
109,C02B,V04C,43.4,2.6,
110,C02B,V04D,18,2.1,
111,C02B,V05A,18,1.9,
112,C02B,V05B,42.1,2.2,
113,C02B,V05C,28.5,2.1,
114,C02B,V05D,11.4,1.5,
115,C02B,V06A,63.8,2.1,
116,C02B,V07A,86.7,1.5,
117,C02B,V08A,55.3,3.0,
118,C02B,V09A,77.1,1.7,
119,C02B,V10A,22,2.0,
120,C02B,V11A,78.7,1.8,
121,C02B,V11B,7,1.2,
122,C02B,V11C,5.5,1.2,
123,C02B,V11D,2.9,0.8,
124,C02B,V11E,5.8,1.4,
125,C02B,V11M,3.6,0.1,
126,C02B,V12A,59.5,2.8,
127,C02B,V13A,85.2,1.7,
128,C02B,V14A,71.9,2.2,
129,C02B,V15A,84.1,1.9,
130,C02B,V16A,57.1,2.1,
131,C02B,V16B,24.5,1.7,
132,C02B,V16C,14.9,1.7,
133,C02B,V16D,3.4,0.8,
134,C02B,V17A,10.5,1.3,
135,C02B,V17B,24,2.2,
136,C02B,V17C,51,2.4,
137,C02B,V17D,14.5,1.9,
138,C02B,V17M,6.8,0.1,
139,C02B,V18A,12.1,1.6,
140,C02B,V18B,24.4,2.1,
141,C02B,V18C,39.2,2.2,
142,C02B,V18D,24.3,2.5,
143,C02B,V18M,6.9,0.1,
144,C02B,V19A,8.8,1.2,
145,C02B,V19B,23.2,2.0,
146,C02B,V19C,46.2,2.4,
147,C02B,V19D,21.8,2.5,
148,C02B,V19M,7.1,0.1,
149,C02B,V20A,12.6,1.4,
150,C02B,V20B,23.4,1.8,
151,C02B,V20C,41.6,2.0,
152,C02B,V20D,22.4,2.2,
153,C02B,V20M,6.9,0.1,
154,C02B,V21A,39.5,2.7,
155,C02B,V21B,33.8,2.2,
156,C02B,V21C,20.8,2.1,
157,C02B,V21D,5.9,1.5,
158,C02B,V21M,4.9,0.1,
159,C02B,V22A,23,2.5,
160,C02B,V22B,33.4,2.2,
161,C02B,V22C,32.9,2.1,
162,C02B,V22D,10.8,2.0,
163,C02B,V22M,5.8,0.1,
164,C02B,V23A,6.7,1.3,
165,C02B,V23B,13,1.7,
166,C02B,V23C,35.5,2.1,
167,C02B,V23D,44.8,2.8,
168,C02B,V23M,7.8,0.1,
169,C02B,V24A,86.3,1.6,
170,C02B,V25A,85.6,1.5,
171,C02B,V26A,89.1,1.4,
172,C02B,V27A,59.3,2.1,
173,C02B,V28A,85.4,1.5,
174,C02B,V29A,83.4,1.9,
175,C02B,V30A,80.5,2.0,
176,C02C,V00T,31.3,0.0,B
177,C02C,V01A,21.1,1.8,
178,C02C,V01B,18,1.7,
179,C02C,V01C,31,1.8,
180,C02C,V01D,14.7,1.6,
181,C02C,V01E,15.2,2.0,
182,C02C,V01M,7.6,0.1,
183,C02C,V02A,13.2,1.4,
184,C02C,V02B,17,1.8,
185,C02C,V02C,29.5,2.0,
