,age_group,sex,class
0,C02A,C04A,N
1,C02B,C04B,N
2,C02B,C04B,N
3,C02B,C04A,N
4,C02B,C04A,N
5,C02B,C04B,Y
6,C02D,C04B,N
7,C02D,C04A,N
8,C02B,C04A,N
9,C02B,C04B,N
10,C02D,C04A,Y
11,C02C,C04A,N
12,C02A,C04A,N
13,C02C,C04B,Y
14,C02B,C04A,N
15,C02D,C04B,N
16,C02A,C04B,N
17,C02D,C04B,N
18,C02B,C04B,Y
19,C02C,C04B,N
20,C02C,C04B,N
21,C02C,C04A,N
22,C02B,C04B,N
23,C02C,C04B,Y
24,C02C,C04B,N
25,C02B,C04B,N
26,C02B,C04B,N
27,C02A,C04A,Y
28,C02B,C04B,Y
29,C02D,C04A,N
30,C02B,C04B,N
31,C02C,C04B,Y
32,C02B,C04B,N
33,C02D,C04B,N
34,C02D,C04B,N
35,C02A,C04A,N
36,C02B,C04A,N
37,C02C,C04B,N
38,C02C,C04A,N
39,C02B,C04B,Y
40,C02D,C04A,N
41,C02C,C04A,N
42,C02C,C04A,N
43,C02B,C04B,N
44,C02C,C04B,N
45,C02C,C04A,N
46,C02B,C04A,N
47,C02B,C04A,N
48,C02B,C04B,Y
49,C02B,C04B,Y
50,C02B,C04B,N
51,C02C,C04A,N
52,C02A,C04A,N
53,C02C,C04B,N
54,C02B,C04B,Y
55,C02C,C04B,N
56,C02A,C04A,Y
57,C02B,C04B,Y
58,C02B,C04A,N
59,C02B,C04B,N
60,C02C,C04B,N
61,C02D,C04A,N
62,C02B,C04B,N
63,C02D,C04B,N
64,C02B,C04A,Y
65,C02B,C04A,Y
66,C02C,C04B,N
67,C02C,C04A,N
68,C02B,C04B,Y
69,C02A,C04A,N
70,C02C,C04B,N
71,C02C,C04A,N
72,C02A,C04B,N
73,C02C,C04B,Y
74,C02B,C04A,N
75,C02B,C04B,Y
76,C02C,C04B,N
77,C02A,C04A,Y
78,C02D,C04B,N
79,C02C,C04A,N
80,C02C,C04A,N
81,C02C,C04A,Y
82,C02B,C04A,N
83,C02B,C04B,N
84,C02C,C04A,N
85,C02B,C04B,N
86,C02B,C04A,N
87,C02C,C04B,N
88,C02B,C04A,N
89,C02D,C04B,N
90,C02B,C04A,N
91,C02D,C04A,N
92,C02B,C04B,N
93,C02C,C04A,N
94,C02C,C04B,N
95,C02C,C04B,N
96,C02C,C04B,N
97,C02B,C04A,N
98,C02B,C04A,N
99,C02A,C04B,N
100,C02C,C04A,N
101,C02B,C04B,N
102,C02B,C04B,N
103,C02C,C04A,N
104,C02B,C04B,N
105,C02A,C04B,Y
106,C02D,C04B,Y
107,C02C,C04A,Y
108,C02D,C04B,N
109,C02A,C04B,Y
110,C02B,C04A,N
111,C02C,C04B,N
112,C02B,C04B,N
113,C02C,C04B,N
114,C02B,C04B,N
115,C02C,C04B,Y
116,C02D,C04A,Y
117,C02C,C04A,N
118,C02C,C04B,N
119,C02B,C04B,Y
120,C02C,C04A,N
121,C02B,C04B,N
122,C02C,C04B,N
123,C02A,C04A,N
124,C02A,C04A,Y
125,C02B,C04A,N
126,C02C,C04B,Y
127,C02C,C04A,N
128,C02B,C04A,N
129,C02B,C04B,N
130,C02B,C04B,N
131,C02A,C04B,N
132,C02C,C04A,Y
133,C02B,C04A,N
134,C02C,C04B,N
135,C02C,C04B,N
136,C02B,C04A,N
137,C02B,C04B,Y
138,C02A,C04A,N
139,C02B,C04A,Y
140,C02A,C04B,N
141,C02A,C04B,Y
142,C02C,C04B,N
143,C02A,C04B,N
144,C02C,C04B,N
145,C02C,C04B,N
146,C02B,C04B,N
147,C02B,C04A,Y
148,C02C,C04B,N
149,C02B,C04A,N
