,age_group,sex,ethnicity,region,class
0,C02A,C04B,C12A,C13B,N
1,C02B,C04B,C12A,C13A,N
2,C02B,C04A,C12D,C13A,N
3,C02C,C04A,C12A,C13J,N
4,C02A,C04B,C12A,C13B,N
5,C02D,C04B,C12D,C13G,N
6,C02C,C04A,C12B,C13B,N
7,C02C,C04B,C12A,C13G,Y
8,C02B,C04B,C12B,C13D,N
9,C02B,C04B,C12A,C13B,N
10,C02C,C04B,C12A,C13B,N
11,C02B,C04B,C12C,C13B,Y
12,C02C,C04A,C12A,C13D,N
13,C02C,C04B,C12B,C13D,Y
14,C02B,C04B,C12D,C13B,N
15,C02C,C04B,C12D,C13D,N
16,C02C,C04B,C12A,C13C,N
17,C02B,C04A,C12A,C13J,N
18,C02D,C04A,C12A,C13B,N
19,C02C,C04A,C12D,C13C,N
20,C02A,C04A,C12A,C13B,N
21,C02D,C04B,C12A,C13A,N
22,C02C,C04A,C12D,C13I,N
23,C02A,C04A,C12A,C13C,Y
24,C02B,C04A,C12A,C13I,Y
25,C02B,C04B,C12A,C13C,N
26,C02B,C04A,C12A,C13H,N
27,C02C,C04B,C12A,C13B,N
28,C02D,C04A,C12D,C13G,N
29,C02C,C04A,C12D,C13K,N
30,C02D,C04A,C12D,C13B,N
31,C02C,C04B,C12D,C13J,Y
32,C02C,C04A,C12A,C13B,N
33,C02B,C04B,C12A,C13J,Y
34,C02D,C04A,C12A,C13B,N
35,C02C,C04B,C12A,C13B,N
36,C02B,C04A,C12A,C13K,Y
37,C02D,C04B,C12A,C13D,N
38,C02D,C04A,C12D,C13H,N
39,C02C,C04A,C12A,C13J,N
40,C02B,C04A,C12A,C13B,N
41,C02C,C04B,C12A,C13H,N
42,C02C,C04A,C12A,C13J,N
43,C02A,C04B,C12A,C13G,N
44,C02B,C04A,C12B,C13B,N
45,C02D,C04B,C12C,C13H,Y
46,C02B,C04B,C12A,C13B,N
47,C02B,C04A,C12A,C13H,Y
48,C02D,C04A,C12A,C13G,Y
49,C02A,C04B,C12A,C13B,Y
50,C02B,C04A,C12B,C13H,N
51,C02B,C04A,C12D,C13I,N
52,C02B,C04A,C12A,C13B,Y
53,C02B,C04A,C12A,C13H,N
54,C02B,C04A,C12C,C13C,Y
55,C02C,C04B,C12A,C13B,N
56,C02A,C04A,C12D,C13J,N
57,C02C,C04B,C12A,C13E,N
58,C02B,C04A,C12A,C13B,N
59,C02C,C04B,C12A,C13G,Y
60,C02C,C04A,C12A,C13B,N
61,C02B,C04B,C12A,C13J,N
62,C02B,C04B,C12A,C13B,N
63,C02D,C04A,C12A,C13B,N
64,C02B,C04A,C12A,C13J,N
65,C02C,C04A,C12C,C13F,N
66,C02B,C04A,C12A,C13J,N
67,C02B,C04B,C12A,C13J,N
68,C02C,C04B,C12A,C13F,N
69,C02C,C04B,C12B,C13A,N
70,C02C,C04A,C12C,C13J,N
71,C02B,C04B,C12A,C13K,N
72,C02B,C04B,C12D,C13B,N
73,C02A,C04A,C12A,C13D,N
74,C02B,C04A,C12A,C13D,N
75,C02B,C04A,C12A,C13J,N
76,C02D,C04B,C12A,C13H,N
77,C02B,C04A,C12A,C13E,Y
78,C02C,C04B,C12A,C13I,N
79,C02A,C04B,C12A,C13E,N
80,C02B,C04A,C12A,C13H,N
81,C02C,C04B,C12A,C13G,N
82,C02B,C04B,C12A,C13B,N
83,C02B,C04A,C12A,C13H,N
84,C02A,C04A,C12D,C13K,N
85,C02A,C04A,C12B,C13L,N
86,C02C,C04A,C12C,C13B,N
87,C02C,C04B,C12A,C13D,Y
88,C02B,C04A,C12A,C13C,N
89,C02B,C04B,C12D,C13C,N
90,C02D,C04A,C12D,C13C,N
91,C02A,C04A,C12A,C13B,Y
92,C02D,C04B,C12A,C13B,Y
93,C02D,C04B,C12A,C13H,Y
94,C02C,C04B,C12A,C13J,Y
95,C02D,C04B,C12A,C13J,N
96,C02A,C04A,C12D,C13K,N
97,C02B,C04A,C12D,C13J,N
98,C02A,C04A,C12A,C13J,Y
99,C02A,C04A,C12A,C13B,Y
100,C02A,C04B,C12A,C13B,Y
101,C02C,C04A,C12B,C13B,N
102,C02C,C04A,C12A,C13G,N
103,C02B,C04B,C12B,C13B,N
104,C02B,C04B,C12A,C13A,N
105,C02A,C04A,C12A,C13F,Y
106,C02A,C04A,C12A,C13B,Y
107,C02D,C04A,C12A,C13C,N
108,C02A,C04B,C12D,C13B,Y
109,C02C,C04A,C12D,C13C,Y
110,C02B,C04B,C12A,C13B,N
111,C02A,C04A,C12D,C13C,Y
112,C02D,C04B,C12A,C13J,N
113,C02B,C04B,C12A,C13C,N
114,C02B,C04B,C12A,C13B,N
115,C02D,C04A,C12C,C13J,N
116,C02A,C04B,C12A,C13C,N
117,C02B,C04B,C12A,C13J,N
118,C02B,C04A,C12A,C13B,N
119,C02C,C04B,C12D,C13C,N
120,C02C,C04B,C12A,C13B,Y
121,C02C,C04A,C12D,C13C,N
122,C02C,C04A,C12D,C13K,Y
123,C02C,C04A,C12C,C13K,N
124,C02C,C04B,C12A,C13C,N
125,C02B,C04A,C12A,C13H,N
126,C02C,C04B,C12B,C13B,Y
127,C02C,C04A,C12D,C13F,N
128,C02D,C04A,C12B,C13C,N
129,C02A,C04B,C12A,C13H,Y
130,C02C,C04A,C12A,C13E,N
131,C02C,C04A,C12D,C13B,N
132,C02A,C04B,C12B,C13B,N
133,C02C,C04B,C12D,C13H,N
134,C02A,C04A,C12A,C13E,N
135,C02D,C04A,C12A,C13B,N
136,C02A,C04B,C12A,C13A,N
137,C02C,C04A,C12A,C13E,N
138,C02D,C04B,C12A,C13C,N
139,C02A,C04B,C12D,C13J,N
140,C02D,C04A,C12A,C13D,N
141,C02D,C04B,C12A,C13J,N
142,C02C,C04B,C12A,C13B,N
143,C02B,C04B,C12D,C13H,N
144,C02B,C04B,C12A,C13B,N
145,C02B,C04A,C12D,C13C,N
146,C02B,C04A,C12B,C13D,N
147,C02D,C04A,C12A,C13B,N
148,C02B,C04B,C12A,C13C,N
149,C02C,C04B,C12C,C13J,Y
150,C02C,C04B,C12A,C13H,N
151,C02C,C04B,C12D,C13J,Y
152,C02C,C04B,C12B,C13J,N
153,C02B,C04A,C12B,C13J,N
154,C02B,C04A,C12B,C13A,N
155,C02D,C04A,C12A,C13F,N
156,C02C,C04B,C12A,C13B,N
157,C02B,C04B,C12A,C13D,N
158,C02C,C04B,C12A,C13J,N
159,C02C,C04A,C12A,C13B,N
160,C02D,C04B,C12A,C13B,Y
161,C02A,C04A,C12C,C13B,N
162,C02C,C04B,C12A,C13B,N
163,C02D,C04B,C12D,C13H,N
164,C02C,C04A,C12D,C13K,N
165,C02D,C04B,C12A,C13B,N
166,C02B,C04B,C12D,C13G,N
167,C02A,C04B,C12A,C13G,N
168,C02A,C04A,C12A,C13B,N
169,C02B,C04B,C12C,C13B,N
170,C02D,C04B,C12C,C13B,N
171,C02C,C04B,C12A,C13C,Y
172,C02B,C04B,C12A,C13G,N
173,C02C,C04A,C12A,C13J,N
174,C02B,C04A,C12A,C13F,N
175,C02B,C04A,C12A,C13L,N
176,C02B,C04A,C12A,C13E,N
177,C02C,C04A,C12A,C13H,N
178,C02C,C04B,C12A,C13B,Y
179,C02B,C04B,C12A,C13K,N
180,C02A,C04B,C12B,C13G,N
181,C02B,C04A,C12A,C13H,N
182,C02C,C04A,C12C,C13K,N
183,C02C,C04B,C12A,C13B,N
184,C02B,C04A,C12D,C13F,Y
185,C02B,C04B,C12B,C13G,N
186,C02D,C04A,C12A,C13J,N
187,C02B,C04A,C12A,C13B,N
188,C02B,C04A,C12A,C13B,N
189,C02B,C04A,C12A,C13B,N
190,C02A,C04B,C12B,C13G,N
191,C02C,C04A,C12A,C13A,N
192,C02C,C04B,C12A,C13G,N
193,C02B,C04A,C12A,C13C,Y
194,C02C,C04B,C12C,C13B,N
195,C02B,C04A,C12A,C13C,Y
196,C02C,C04B,C12A,C13B,N
197,C02C,C04A,C12A,C13B,N
198,C02B,C04B,C12A,C13G,Y
199,C02C,C04B,C12A,C13B,N
200,C02A,C04B,C12A,C13K,N
201,C02D,C04A,C12A,C13J,N
202,C02C,C04B,C12B,C13B,Y
203,C02B,C04B,C12A,C13E,N
204,C02D,C04B,C12A,C13B,N
205,C02C,C04B,C12A,C13C,Y
206,C02B,C04B,C12A,C13B,N
207,C02D,C04B,C12D,C13F,Y
208,C02C,C04A,C12A,C13C,Y
209,C02A,C04A,C12A,C13C,N
210,C02C,C04A,C12D,C13I,N
211,C02C,C04A,C12A,C13A,N
212,C02C,C04B,C12A,C13B,Y
213,C02C,C04A,C12A,C13D,Y
214,C02C,C04B,C12A,C13H,N
215,C02C,C04B,C12A,C13D,N
216,C02C,C04B,C12C,C13D,N
217,C02A,C04B,C12D,C13G,N
218,C02A,C04A,C12A,C13A,N
219,C02C,C04B,C12D,C13L,N
220,C02C,C04A,C12A,C13H,N
221,C02C,C04A,C12A,C13B,N
222,C02C,C04A,C12D,C13K,N
223,C02C,C04A,C12A,C13C,Y
224,C02D,C04A,C12A,C13C,N
225,C02C,C04B,C12D,C13B,N
226,C02A,C04B,C12A,C13B,N
227,C02A,C04A,C12A,C13B,N
228,C02C,C04A,C12B,C13A,N
229,C02A,C04B,C12A,C13I,N
230,C02A,C04A,C12A,C13B,Y
231,C02C,C04B,C12A,C13B,Y
232,C02A,C04A,C12A,C13H,N
233,C02D,C04B,C12A,C13B,N
234,C02C,C04A,C12B,C13A,N
235,C02C,C04A,C12A,C13H,N
236,C02B,C04B,C12A,C13B,N
237,C02B,C04B,C12C,C13I,N
238,C02B,C04B,C12A,C13B,N
239,C02C,C04B,C12A,C13J,N
240,C02C,C04B,C12C,C13J,N
241,C02A,C04A,C12A,C13H,N
242,C02B,C04B,C12A,C13B,N
243,C02A,C04A,C12A,C13B,N
244,C02B,C04B,C12A,C13B,Y
245,C02B,C04B,C12A,C13J,N
246,C02C,C04A,C12A,C13G,N
247,C02C,C04A,C12A,C13B,Y
248,C02B,C04A,C12A,C13B,N
249,C02D,C04B,C12A,C13E,Y
250,C02C,C04B,C12B,C13B,N
251,C02C,C04B,C12D,C13B,N
252,C02C,C04B,C12B,C13K,N
253,C02A,C04B,C12C,C13G,N
254,C02A,C04A,C12A,C13J,N
255,C02B,C04B,C12A,C13H,N
256,C02B,C04A,C12A,C13H,N
257,C02D,C04A,C12A,C13D,N
258,C02C,C04B,C12D,C13B,N
259,C02A,C04B,C12A,C13H,N
260,C02D,C04B,C12B,C13L,N
261,C02C,C04A,C12C,C13H,N
262,C02C,C04B,C12A,C13H,Y
263,C02C,C04B,C12B,C13E,Y
