#NAME?,"<?xml version=""1.0""?><WebTableParameter xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns=""""><DataTable Code=""TABLECODE7962"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Overall life satisfaction by family type, age group and sex, 2014</Name><Dimension Code=""AGEGRP"" HasMetadata=""true"" Display=""labels""><Name LocaleIsoCode=""en"">Age group (Life-stages)</Name><Member Code=""1"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">15 - 24</Name></Member><Member Code=""2"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">25 - 44</Name></Member><Member Code=""3"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">45 - 64</Name></Member><Member Code=""4"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">65+</Name></Member></Dimension><Dimension Code=""DVSEX"" Display=""labels""><Name LocaleIsoCode=""en"">Sex</Name><Member Code=""11"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Male</Name></Member><Member Code=""12"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Female</Name></Member></Dimension><Dimension Code=""FAMTYP"" HasMetadata=""true"" Display=""labels""><Name LocaleIsoCode=""en"">Family type</Name><Member Code=""01"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Couple without child(ren)</Name></Member><Member Code=""02"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Couple with child(ren)</Name></Member><Member Code=""03"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">One parent with child(ren)</Name></Member><Member Code=""04"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Not in a family nucleus</Name></Member></Dimension><Dimension Code=""OLS"" HasMetadata=""true"" Display=""labels""><Name LocaleIsoCode=""en"">Overall life satisfaction</Name><Member Code=""TOT"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Total</Name><ChildMember Code=""1"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">0 - 6</Name></ChildMember><ChildMember Code=""2"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">7 - 10</Name></ChildMember></Member></Dimension><Tabulation Axis=""horizontal""><Dimension Code=""FAMTYP"" /><Dimension Code=""AGEGRP"" /><Dimension Code=""DVSEX"" /></Tabulation><Tabulation Axis=""vertical""><Dimension Code=""OLS"" /></Tabulation><Tabulation Axis=""page"" /><Formatting><Labels LocaleIsoCode=""en"" /><Power>0</Power><Decimals>-1</Decimals><SkipEmptyLines>false</SkipEmptyLines><FullyFillPage>false</FullyFillPage><SkipEmptyCols>false</SkipEmptyCols><SkipLineHierarchy>true</SkipLineHierarchy><SkipColHierarchy>true</SkipColHierarchy><Page>1</Page></Formatting></DataTable><Format><ShowEmptyAxes>true</ShowEmptyAxes><TimeStamp>false</TimeStamp><Page>1</Page><EnableSort>true</EnableSort><IncludeFlagColumn>false</IncludeFlagColumn><IncludeTimeSeriesId>false</IncludeTimeSeriesId><DoBarChart>false</DoBarChart><FreezePanes>false</FreezePanes><MaxBarChartLen>65</MaxBarChartLen></Format><Query><AbsoluteUri>http://nzdotstat.stats.govt.nz/wbos/View.aspx?QueryId=&amp;QueryType=Public&amp;Lang=en</AbsoluteUri></Query></WebTableParameter>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dataset: Overall life satisfaction by family type, age group and sex, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family type,,Couple without child(ren),,,,,,,,Couple with child(ren),,,,,,,,One parent with child(ren),,,,,,,,Not in a family nucleus,,,,,,,
Age group (Life-stages),,15 - 24,,25 - 44,,45 - 64,,65+,,15 - 24,,25 - 44,,45 - 64,,65+,,15 - 24,,25 - 44,,45 - 64,,65+,,15 - 24,,25 - 44,,45 - 64,,65+,
Sex,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
Overall life satisfaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,22000,41000,112000,109000,198000,221000,196000,157000,171000,156000,294000,308000,247000,201000,28000,9000,45000,54000,33000,105000,23000,71000,5000,17000,79000,52000,109000,75000,84000,100000,62000,145000
  0 - 6,,..,4000,10000,13000,26000,32000,24000,20000,27000,19000,41000,47000,32000,40000,..,..,10000,14000,12000,34000,8000,24000,..,5000,18000,9000,31000,16000,29000,28000,10000,24000
  7 - 10,,18000,37000,102000,96000,171000,188000,172000,137000,144000,137000,254000,261000,215000,160000,27000,6000,35000,40000,20000,70000,15000,47000,5000,12000,61000,43000,78000,59000,56000,72000,52000,120000
data extracted on 07 Sep 2019 01:39 UTC (GMT) from NZ.Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*:,Refer to the metadata for details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:,Suppressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
