,1,2,4,5,6
0,Ethnicity,Migrant status,Total,  0 - 6,  7 - 10
2,European,Born in New Zealand,2110000,349000,1761000
3,European,Born overseas,508000,71000,438000
4,Maori,Born in New Zealand,448000,100000,348000
5,Maori,Born overseas,8000,2000,7000
6,Pacific peoples,Born in New Zealand,103000,20000,83000
7,Pacific peoples,Born overseas,104000,25000,79000
8,Asian,Born in New Zealand,48000,9000,40000
9,Asian,Born overseas,366000,68000,299000
10,MELAA and Other,Born in New Zealand,41000,7000,34000
11,MELAA and Other,Born overseas,34000,6000,28000
