,1,2,3,5,6,7
0,Sense of purpose,Age group (Life-stages),Sex,Total,  0 - 6,  7 - 10
2,0 - 6,15 - 24,Male,55000,36000,20000
3,0 - 6,15 - 24,Female,48000,26000,22000
4,0 - 6,25 - 44,Male,80000,49000,30000
5,0 - 6,25 - 44,Female,75000,51000,24000
6,0 - 6,45 - 64,Male,59000,40000,18000
7,0 - 6,45 - 64,Female,75000,59000,16000
8,0 - 6,65+,Male,26000,14000,12000
9,0 - 6,65+,Female,37000,23000,14000
10,7 - 10,15 - 24,Male,262000,23000,239000
11,7 - 10,15 - 24,Female,254000,19000,235000
12,7 - 10,25 - 44,Male,468000,45000,424000
13,7 - 10,25 - 44,Female,522000,59000,463000
14,7 - 10,45 - 64,Male,493000,55000,439000
15,7 - 10,45 - 64,Female,517000,65000,452000
16,7 - 10,65+,Male,264000,21000,243000
17,7 - 10,65+,Female,289000,28000,261000
