,1,2,4,5,6
0,Ethnicity,Migrant status,Total,  0 - 6,  7 - 10
2,European,Born in New Zealand,2107000,239000,1869000
3,European,Born overseas,508000,54000,454000
4,Maori,Born in New Zealand,448000,74000,374000
5,Maori,Born overseas,8000,..,7000
6,Pacific peoples,Born in New Zealand,103000,17000,85000
7,Pacific peoples,Born overseas,104000,21000,83000
8,Asian,Born in New Zealand,49000,9000,40000
9,Asian,Born overseas,366000,63000,303000
10,MELAA and Other,Born in New Zealand,41000,6000,35000
11,MELAA and Other,Born overseas,34000,4000,29000
