CACode,VaCode,Estimate,ASE,Flag
C01T,V01A,18.9,0.9,
C01T,V01B,19,1.1,
C01T,V01C,30.3,1,
C01T,V01D,14.9,1,
C01T,V01E,17,1,
C01T,V01M,7.7,0,
C01T,V02A,14,0.9,
C01T,V02B,16.7,1,
C01T,V02C,28.2,1.2,
C01T,V02D,17.7,1,
C01T,V02E,23.3,1.1,
C01T,V02M,8.1,0,
C01T,V03A,17.4,0.8,
C01T,V03B,17.9,0.8,
C01T,V03C,31,1.2,
C01T,V03D,16,1,
C01T,V03E,17.7,0.9,
C01T,V03M,7.8,0,
C01T,V04A,10,0.8,
C01T,V04B,27.1,1.4,
C01T,V04C,44.4,1.6,
C01T,V04D,18.4,1,
C01T,V05A,16.5,1,
C01T,V05B,38.8,1.3,
C01T,V05C,30,1.3,
C01T,V05D,14.7,1.1,
C01T,V06A,61.9,1.1,
C01T,V07A,86.7,0.9,
C01T,V08A,52.9,1.9,
C01T,V09A,71.8,1.3,
C01T,V10A,17.4,1,
C01T,V11A,80.4,1.2,
C01T,V11B,6.8,0.8,
C01T,V11C,5.7,0.6,
C01T,V11D,2.6,0.4,
C01T,V11E,4.6,0.7,
C01T,V11M,3.3,0.1,
C01T,V12A,60.2,1.5,
C01T,V13A,79.8,1.1,
C01T,V14A,73.7,1.4,
C01T,V15A,78.4,1.2,
C01T,V16A,61,1.3,
C01T,V16B,22.4,1,
C01T,V16C,13.1,0.9,
C01T,V16D,3.5,0.4,
C01T,V17A,9.7,0.8,
C01T,V17B,24.4,1.3,
C01T,V17C,50.8,1.3,
C01T,V17D,15.1,1,
C01T,V17M,6.8,0.1,
C01T,V18A,12.5,0.9,
C01T,V18B,23.4,1.1,
C01T,V18C,40.2,1.3,
C01T,V18D,23.9,1.3,
C01T,V18M,6.9,0.1,
C01T,V19A,9.2,0.8,
C01T,V19B,24.8,1.1,
C01T,V19C,45.8,1.2,
C01T,V19D,20.2,1.2,
C01T,V19M,7,0.1,
C01T,V20A,12.7,0.8,
C01T,V20B,22.4,1,
C01T,V20C,42,1.3,
C01T,V20D,22.9,1.2,
C01T,V20M,6.9,0.1,
C01T,V21A,39.2,1.3,
C01T,V21B,35.4,1.3,
C01T,V21C,20.6,1,
C01T,V21D,4.8,0.6,
C01T,V21M,4.9,0.1,
C01T,V22A,24.9,1.2,
C01T,V22B,33.8,1.2,
C01T,V22C,31.7,1.2,
C01T,V22D,9.6,0.9,
C01T,V22M,5.7,0.1,
C01T,V23A,6.5,0.7,
C01T,V23B,12.2,0.8,
C01T,V23C,36.1,1.3,
C01T,V23D,45.2,1.4,
C01T,V23M,7.9,0.1,
C01T,V24A,87.5,0.9,
C01T,V25A,84.6,0.9,
C01T,V26A,88.5,0.7,
C01T,V27A,54.8,1.4,
C01T,V28A,83.5,0.9,
C01T,V29A,82.7,1,
C01T,V30A,83.8,1.1,
C02A,V00T,16.8,0,B
C02A,V01A,17.5,2.9,
C02A,V01B,23.6,3.4,
C02A,V01C,27.8,3.3,
C02A,V01D,14.1,3.1,
C02A,V01E,17,3.2,
C02A,V01M,7.7,0.1,
C02A,V02A,18.5,3.1,
C02A,V02B,18.3,3.1,
C02A,V02C,28.2,3.6,
C02A,V02D,15.9,2.8,
C02A,V02E,19.1,3.3,
C02A,V02M,7.8,0.1,
C02A,V03A,18.9,2.6,
C02A,V03B,17.8,2.8,
C02A,V03C,32.7,3.4,
C02A,V03D,15.5,2.9,
C02A,V03E,15,2.7,
C02A,V03M,7.7,0.1,
C02A,V04A,15.9,2.7,
C02A,V04B,30.4,4.1,
C02A,V04C,40.7,4.5,
C02A,V04D,12.9,2.4,
C02A,V05A,22.4,3.7,
C02A,V05B,39,4.2,
C02A,V05C,28.1,3.5,
C02A,V05D,10.5,2.4,
C02A,V06A,60.2,3.1,
C02A,V07A,84.7,2.3,
C02A,V08A,54.2,4.2,
C02A,V09A,77.8,3.6,
C02A,V10A,22.4,2.8,
C02A,V11A,81.7,4,
C02A,V11B,7.2,2.6,*
C02A,V11C,5.7,2,*
C02A,V11D,2.4,1.1,*
C02A,V11E,2.9,1.4,*
C02A,V11M,3.3,0.3,
C02A,V12A,50.5,4.2,
C02A,V13A,70.5,3.6,
C02A,V14A,83.5,2.7,
C02A,V15A,89.1,2.6,
C02A,V16A,48.9,3.9,
C02A,V16B,27.1,3.5,
C02A,V16C,18.2,3.2,
C02A,V16D,5.8,1.6,
C02A,V17A,13.5,2.7,
C02A,V17B,27.6,3.6,
C02A,V17C,43,3.5,
C02A,V17D,15.9,3.1,
C02A,V17M,6.6,0.1,
C02A,V18A,9.4,2.1,
C02A,V18B,23.4,3.1,
C02A,V18C,41.1,3.6,
C02A,V18D,26.1,3.3,
C02A,V18M,7.1,0.2,
C02A,V19A,8.5,2,
C02A,V19B,24.8,3.2,
C02A,V19C,45.5,4.4,
C02A,V19D,21.2,3.2,
C02A,V19M,7.1,0.1,
C02A,V20A,8.6,2.1,
C02A,V20B,18.4,2.8,
C02A,V20C,44.1,4.1,
C02A,V20D,28.9,3.9,
C02A,V20M,7.3,0.1,
C02A,V21A,37.3,3.8,
C02A,V21B,35,3.7,
C02A,V21C,22.7,3.7,
C02A,V21D,5,1.8,*
C02A,V21M,5,0.2,
C02A,V22A,19.1,2.5,
C02A,V22B,29.5,3.5,
C02A,V22C,38.2,3.7,
C02A,V22D,13.2,2.6,
C02A,V22M,6.2,0.2,
C02A,V23A,5.7,1.7,*
C02A,V23B,13.7,2.7,
C02A,V23C,37.4,3.7,
